Section Summaries,,, = missing sample,RED, = sample too low,,,,,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,,% Volume,,,,,,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean (µm),Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,%Clay,%Silt,%Sand,,,,,,,
363,U1484,A,1,H,1,1.5,1.5,0,1.5,0,1.5, 84A_1_1-0_7345_01.$ls,4.11,4.11,4.470,2.94,0.90,4.47,16.60,46.08,60.33,75.35,100.00,100.00,100.00,100.00,100.00,46.08,53.92,0.00,,,,,,,
363,U1484,A,1,H,2,1.5,1.5,1.5,3,0.75,1.5, 84A_1_2-0_7350_01.$ls,3.79,4.08,16.000,2.88,0.86,4.08,15.50,49.25,63.78,78.47,100.00,100.00,100.00,100.00,100.00,49.25,50.75,0.00,,,,,,,
363,U1484,A,1,H,3,1,1,3,4,2.25,3, 84A_1_3-0_7351_01.$ls,3.59,3.75,16.000,2.94,0.81,3.75,15.80,52.26,65.98,78.85,100.00,100.00,100.00,100.00,100.00,52.26,47.74,0.00,,,,,,,
363,U1484,A,1,H,4,0.79,0.79,4,4.79,3.34,4, 84A_1_4-0_7352_01.$ls,3.44,3.6,16.000,2.90,0.79,3.60,15.20,53.69,67.78,80.71,100.00,100.00,100.00,100.00,100.00,53.69,46.31,0.00,,,,,,,
363,U1484,A,1,H,CC,0.26,0.26,4.79,5.05,4.543,4.79, 84A_1_cc-0_7353_01.$ls,4.12,4.43,18.000,2.97,0.90,4.42,16.90,46.54,60.31,74.36,100.00,100.00,100.00,100.00,100.00,46.54,53.46,0.00,,,,,,,
363,U1484,A,2,H,1,1.5,1.5,5,6.5,5,6.5, 84A_2_1-0_7354_01.$ls,3.05,3.29,4.000,2.72,0.75,3.29,11.60,57.11,71.90,86.62,100.00,100.00,100.00,100.00,100.00,57.11,42.89,0.00,,,,,,,
363,U1484,A,2,H,2,1.5,1.5,6.5,8,5.75,6.5, 84A_2_2-0_7355_01.$ls,3.89,4.12,16.000,3.06,0.82,4.12,16.90,49.02,61.75,74.68,100.00,100.00,100.00,100.00,100.00,49.02,50.98,0.00,,,,,,,
363,U1484,A,2,H,3,1.5,1.5,8,9.5,7,8, 84A_2_3-0_7356_01.$ls,3.28,3.68,12.000,2.84,0.75,3.67,12.00,52.90,66.45,82.53,100.00,100.00,100.00,100.00,100.00,52.90,47.10,0.00,,,,,,,
363,U1484,A,2,H,4,1.5,1.5,9.5,11,8.375,9.5, 84A_2_4-0_7357_01.$ls,3.80,4.12,16.000,2.99,0.81,4.11,16.00,49.06,62.50,76.40,100.00,100.00,100.00,100.00,100.00,49.06,50.94,0.00,,,,,,,
363,U1484,A,2,H,5,1.5,1.5,11,12.5,9.8,11, 84A_2_5-0_7358_01.$ls,4.11,4.47,18.000,3.11,0.83,4.47,17.20,46.54,59.08,72.28,100.00,100.00,100.00,100.00,100.00,46.54,53.46,0.00,,,,,,,
363,U1484,A,2,H,6,1.5,1.5,12.5,14,11.25,12.5, 84A_2_6-0_7359_01.$ls,3.65,4.09,15.000,2.98,0.78,4.09,14.70,49.28,62.98,78.02,100.00,100.00,100.00,100.00,100.00,49.28,50.72,0.00,,,,,,,
363,U1484,A,2,H,7,0.66,0.66,14,14.66,13.385,14, 84A_2_7-0_7360_01.$ls,4.05,4.34,16.000,3.09,0.83,4.34,17.30,47.44,60.13,73.18,100.00,100.00,100.00,100.00,100.00,47.44,52.56,0.00,,,,,,,
363,U1484,A,2,H,CC,0.19,0.19,14.66,14.85,14.317,14.5, 84A_2_cc-0_7361_01.$ls,4.12,4.48,18.000,3.09,0.84,4.47,17.30,46.48,59.16,72.51,100.00,100.00,100.00,100.00,100.00,46.48,53.52,0.00,,,,,,,
363,U1484,A,3,H,1,1.51,1.51,14.5,16.01,14.5,16.01, 84A_3_1-0_7362_01.$ls,4.95,5.37,18.000,3.53,0.85,5.37,22.70,42.00,52.91,64.67,96.32,100.00,100.00,100.00,100.00,42.00,58.00,0.00,,,,,,,
363,U1484,A,3,H,2,1.5,1.5,16.01,17.51,15.258,16.01, 84A_3_2-0_7363_01.$ls,3.96,4.31,18.000,3.16,0.79,4.31,17.20,47.65,60.10,73.38,100.00,100.00,100.00,100.00,100.00,47.65,52.35,0.00,,,,,,,
363,U1484,A,3,H,3,1.53,1.56,17.51,19.04,16.496,17.51, 84A_3_3-0_7364_01.$ls,4.56,5.03,18.000,3.33,0.83,5.03,20.00,43.39,54.94,67.64,99.94,100.00,100.00,100.00,100.00,43.39,56.61,0.00,,,,,,,
363,U1484,A,3,H,4,1.57,1.57,19.04,20.61,17.873,19.04, 84A_3_4-0_7365_01.$ls,3.94,4.23,18.000,3.16,0.78,4.23,17.40,48.27,60.44,73.44,100.00,100.00,100.00,100.00,100.00,48.27,51.73,0.00,,,,,,,
363,U1484,A,3,H,5,1.59,1.59,20.61,22.2,19.348,20.61, 84A_3_5-0_7366_01.$ls,4.14,4.57,18.000,3.24,0.78,4.57,17.70,45.97,58.14,70.80,100.00,100.00,100.00,100.00,100.00,45.97,54.03,0.00,,,,,,,
363,U1484,A,3,H,6,1.51,1.51,22.2,23.71,20.937,22.2, 84A_3_6-0_7367_01.$ls,4.66,4.93,18.000,3.46,0.82,4.93,21.40,44.06,55.38,67.08,96.80,100.00,100.00,100.00,100.00,44.06,55.94,0.00,,,,,,,
363,U1484,A,3,H,7,0.61,0.61,23.71,24.32,23.138,23.71, 84A_3_7-0_7368_01.$ls,4.03,4.3,18.000,3.13,0.82,4.30,17.60,47.74,60.14,72.99,100.00,100.00,100.00,100.00,100.00,47.74,52.26,0.00,,,,,,,
363,U1484,A,3,H,CC,0.23,0.23,24.32,24.55,23.783,24, 84A_3_cc-0_7369_01.$ls,4.10,4.93,18.000,3.16,0.81,4.43,17.80,46.82,59.34,72.38,100.00,100.00,100.00,100.00,100.00,46.82,53.18,0.00,,,,,,,
