Section Summaries,KEY:,, = missing sample,RED, = very low sample,, = need to fill in,, = coarsest sample,,,,,,,,,Percentiles,,,% Volume below threshold ,,,,,,,,% Volume,,
Exp,Site,Hole ,Core,Type,Section,Recovered length (m),Curated length (m),Depth,Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Sample,Mean:,Median (µm),Mode (µm),SD (µm),d10 (µm),d50 (µm),d90 (µm),4,6,10,32,63,125,250,500,% Clay,% Silt,% Sand,
363,U1485,A,1,H,1,1.5,1.5,0,1.5,0,1.484,85A_1_1-0_7374_01.$ls,3.48,3.83,4,2.78,0.825,3.83,13.4,51.6406,67.1395,82.8171,100,100,100,100,100,51.6406,48.3594,0,
363,U1485,A,1,H,2,1.5,1.5,1.5,3,1.484,2.968,85A_1_2-0_7375_01.$ls,3.62,3.9,4,2.86,0.83,3.9,15,50.8812,65.8617,80.4583,100,100,100,100,100,50.8812,49.1188,0,
363,U1485,A,1,H,3,1.5,1.5,3,4.5,2.968,4.452,85A_1_3-0_7376_01.$ls,3.57,3.74,4,2.91,0.813,3.74,15.5,52.4457,66.8982,79.5774,100,100,100,100,100,52.4457,47.5543,0,
363,U1485,A,1,H,4,1.5,1.5,4.5,6,4.452,5.936,85A_1_4-0_7378_01.$ls,3.16,3.47,4,2.65,0.798,3.47,11.1,55.3282,70.4292,86.5881,100,100,100,100,100,55.3282,44.6718,0,
363,U1485,A,1,H,5,1.34,1.34,6,7.34,5.936,7.262,85A_1_5-0_7379_01.$ls,3.62,3.77,18,3,0.794,3.77,16.4,52.0161,65.3622,77.8945,100,100,100,100,100,52.0161,47.9839,0,
363,U1485,A,1,H,CC,0.24,0.24,7.34,7.58,7.262,7.5,85A_1_CC-0_7380_01.$ls,3.16,3.47,4,2.65,0.795,3.47,11.1,55.3083,70.3912,86.5453,100,100,100,100,100,55.3083,44.6917,0,
363,U1485,A,2,H,1,1.5,1.5,7.5,9,7.5,8.945,85A_2_1-0_7381_01.$ls,3.23,3.56,5,2.74,0.777,3.56,12.1,54.2182,69.3214,85.1132,100,100,100,100,100,54.2182,45.7818,0,
363,U1485,A,2,H,2,1.5,1.5,9,10.5,8.945,10.39,85A_2_2-0_7382_01.$ls,3.93,4.18,18,3.06,0.821,4.18,17,48.5656,61.5475,74.6328,100,100,100,100,100,48.5656,51.4344,0,
363,U1485,A,2,H,3,1.5,1.5,10.5,12,10.39,11.836,85A_2_3-0_7383_01.$ls,3.4,3.81,12,2.76,0.803,3.81,11.9,51.6626,65.6463,82.7697,100,100,100,100,100,51.6626,48.3374,0,
363,U1485,A,2,H,4,1.5,1.5,12,13.5,11.836,13.281,85A_2_4-0_7370_01.$ls,3.97,4.29,18,3.11,0.811,4.29,17.1,47.7516,60.5826,73.9411,100,100,100,100,100,47.7516,52.2484,0,
363,U1485,A,2,H,5,1.5,1.5,13.5,15,13.281,14.726,85A_2_5-0_7385_01.$ls,4.29,4.59,18,3.12,0.87,4.59,18.2,45.6852,58.1572,71.3945,99.981,100,100,100,100,45.6852,54.3148,0,
363,U1485,A,2,H,6,1.52,1.52,15,16.52,14.726,16.191,85A_2_6-0_7386_01.$ls,3.92,4.12,18,3.03,0.827,4.2,16.8,48.3696,61.733,75.2425,100,100,100,100,100,48.3696,51.6304,0,
363,U1485,A,2,H,7,0.64,0.64,16.52,17.16,16.191,16.807,85A_2_7-0_7387_01.$ls,3.39,3.7,4,2.86,0.777,3.7,13.8,52.7997,67.2897,81.9765,100,100,100,100,100,52.7997,47.2003,0,
363,U1485,A,3,H,1,1.5,1.5,17,18.5,17,18.4,85A_3_1-0_7426_01.$ls,4.51,4.98,18,3.28,0.845,4.95,19.6,43.7005,55.6306,68.4901,99.9493,100,100,100,100,43.7005,56.2995,0,
363,U1485,A,2,H,CC,0.2,0.2,17.16,17.36,16.807,17,85A_2_CC-0_7388_01.$ls,3.93,4.18,16,3.07,0.818,4.18,17,48.5394,61.4978,74.582,100,100,100,100,100,48.5394,51.4606,0,
363,U1485,A,3,H,2,1.5,1.5,18.5,20,18.4,19.8,85A_3_2-0_7427_01.$ls,3.49,3.67,12,2.78,0.819,3.97,12.1,50.2668,64.1316,81.7169,100,100,100,100,100,50.2668,49.7332,0,
363,U1485,A,3,H,3,1.5,1.5,20,21.5,19.8,21.199,85A_3_3-0_7428_01.$ls,4.26,4.72,18,3.09,0.858,4.72,17.4,44.7922,57.5774,71.6016,100,100,100,100,100,44.7922,55.2078,0,
363,U1485,A,3,H,4,1.5,1.5,21.5,23,21.199,22.599,85A_3_4-0_7429_01.$ls,3.55,3.93,15,2.91,0.787,3.93,14.3,50.5684,64.6946,80.0659,100,100,100,100,100,50.5684,49.4316,0,
363,U1485,A,3,H,5,1.5,1.5,23,24.5,22.599,23.999,85A_3_5-0_7430_01.$ls,3.27,3.6,12,2.71,0.798,3.6,11.7,53.8185,68.0008,84.2816,100,100,100,100,100,53.8185,46.1815,0,
363,U1485,A,3,H,6,1.5,1.5,24.5,26,23.999,25.399,85A_3_6-0_7431_01.$ls,3.28,3.65,12,2.8,0.759,3.65,11.9,53.1007,66.6576,82.9754,100,100,100,100,100,53.1007,46.8993,0,
