LS,File name:,File ID:,Sample ID:,Operator:,Bar code:,Comment 1:,Comment 2:,Instrument:,Run number:,Start time:,Run length:,Optical model:,Obscuration:,PIDS Obscur:,Obscuration:,Serial Number:,,From,To,Volume ,Depth,Mean:,Median:,"D(3,2):",Mean/Median ratio:,Mode:,S.D.:,Variance:,C.V.:,Skewness:,Kurtosis:,d10:,d50:,d90:,Specific Surf. Area:,,% <,10,25,50,75,90,,Size ,4,10,63,125,250
4/16/2017 16:47,89C_10_5-84_7917_01.$ls,89C_10_5-84,,,,,,"LS 13 320, Aqueous Liquid Module",7917,3/31/2017 10:25,90,Fraunhofer.rfd   PIDS included,7,51,Low,7625,,0.03999,2000,100,81.87,9.77668,12.5839,3.16445,0.776921,16.3982,3.33062,11.093,0,-1.2404,1.73798,1.90203,12.5839,37.4106,18960.7,,Size ,16.908,40.1188,99.8708,100,100,,% <,16.9,40.1,99.9,100,100
4/16/2017 16:47,89C_10_2-86_7918_01.$ls,89C_10_2-86,,,,,,"LS 13 320, Aqueous Liquid Module",7918,3/31/2017 10:37,90,Fraunhofer.rfd   PIDS included,8,55,OK,7625,,0.03999,2000,100,86.35,11.1067,13.8328,3.01439,0.802923,55.1345,3.83545,14.7107,0,-1.03855,0.951185,1.77645,13.8328,52.0595,19904.5,,Size ,18.1652,39.4339,98.0174,100,100,,% <,18.2,39.4,98,100,100
4/16/2017 16:47,89C_11_2-54_7919_01.$ls,89C_11_2-54,,,,,,"LS 13 320, Aqueous Liquid Module",7919,3/31/2017 10:47,90,Fraunhofer.rfd   PIDS included,15,81,High,7625,,0.03999,2000,100,91.05,5.48874,7.33567,1.90934,0.748226,13.6077,3.49317,12.2023,0,-0.95457,0.644129,0.848511,7.33567,19.107,31424.5,,Size ,31.6674,62.0453,99.9991,100,100,,% <,31.7,62,99.999,100,100
4/16/2017 16:47,89C_11_5-17_7920_01.$ls,89C_11_5-17,,,,,,"LS 13 320, Aqueous Liquid Module",7920,3/31/2017 10:55,90,Fraunhofer.rfd   PIDS included,7,60,Low,7625,,0.03999,2000,100,95.18,2.51385,2.97038,1.54937,0.846306,4.44297,2.52429,6.37205,0,-0.590506,-0.338192,0.633519,2.97038,7.39472,38725.3,,Size ,63.2359,97.1876,100,100,100,,% <,63.2,97.2,100,100,100
4/16/2017 16:47,89C_12_2-114_7921_01.$ls,89C_12_2-114,,,,,,"LS 13 320, Aqueous Liquid Module",7921,3/31/2017 11:26,90,Fraunhofer.rfd   PIDS included,8,54,OK,7625,,0.03999,2000,100,101.15,4.78707,6.09835,1.80517,0.784977,14.9377,3.25572,10.5997,0,-1.06505,0.834434,0.869288,6.09835,17.1714,33237.9,,Size ,35.6648,68.5636,100,100,100,,% <,35.7,68.6,100,100,100
4/16/2017 16:47,89C_12_5-32_7922_01.$ls,89C_12_5-32,,,,,,"LS 13 320, Aqueous Liquid Module",7922,3/31/2017 11:35,91,Fraunhofer.rfd   PIDS included,7,53,Low,7625,,0.03999,2000,100,104.83,3.94387,4.81788,2.01044,0.818589,6.45223,2.8956,8.38447,0,-0.743868,-0.0697959,0.707804,4.81788,14.6057,29844.3,,Size ,42.848,80.351,100,100,100,,% <,42.8,80.4,100,100,100
4/16/2017 16:47,89C_13_2-78_7923_01.$ls,89C_13_2-78,,,,,,"LS 13 320, Aqueous Liquid Module",7923,3/31/2017 11:42,91,Fraunhofer.rfd   PIDS included,7,51,Low,7625,,0.03999,2000,100,110.29,5.04406,6.38491,2.24547,0.789997,16.3982,3.06756,9.40991,0,-0.964548,0.289124,0.856376,6.38491,17.1285,26720.5,,Size ,33.3209,67.5672,100,100,100,,% <,33.3,67.6,100,100,100
4/16/2017 16:47,89C_13_5-732_7924_01.$ls,89C_13_5-732,,,,,,"LS 13 320, Aqueous Liquid Module",7924,3/31/2017 11:48,90,Fraunhofer.rfd   PIDS included,7,49,Low,7625,,0.03999,2000,100,114.33,6.11222,8.18475,2.30732,0.746781,16.3982,3.21974,10.3667,0,-1.18153,0.967113,1.07152,8.18475,18.6927,26004.2,,Size ,27.1578,57.3875,100,100,100,,% <,27.2,57.4,100,100,100
4/16/2017 16:47,89C_14_2-70_7925_01.$ls,89C_14_2-70,,,,,,"LS 13 320, Aqueous Liquid Module",7925,3/31/2017 11:58,90,Fraunhofer.rfd   PIDS included,8,57,OK,7625,,0.03999,2000,100,119.71,3.77624,4.51302,1.43229,0.836744,18.0014,3.41692,11.6753,0,-0.830215,0.328158,0.638792,4.51302,16.5083,41891,,Size ,45.6237,76.1131,100,100,100,,% <,45.6,76.1,100,100,100
4/16/2017 16:47,89C_14_5-80_7926_01.$ls,89C_14_5-80,,,,,,"LS 13 320, Aqueous Liquid Module",7926,3/31/2017 12:05,90,Fraunhofer.rfd   PIDS included,6,51,Low,7625,,0.03999,2000,100,124.31,2.86515,3.57388,1.23548,0.801692,4.44297,3.114,9.69702,0,-0.917107,0.439818,0.530884,3.57388,10.5258,48564.3,,Size ,54.5382,88.5346,100,100,100,,% <,54.5,88.5,100,100,100
