LS,File name:,File ID:,Sample ID:,Operator:,Bar code:,Comment 1:,Comment 2:,Instrument:,Run number:,Start time:,Run length:,Optical model:,Obscuration:,PIDS Obscur:,Obscuration:,Serial Number:,,From,To,Volume ,Depth,Mean:,Median:,"D(3,2):",Mean/Median ratio:,Mode:,S.D.:,Variance:,C.V.:,Skewness:,Kurtosis:,d10:,d50:,d90:,Specific Surf. Area:,,% <,10,25,50,75,90,,Size ,4,10,63,125,250
4/16/2017 17:14,86B_1_3-20_8276_01.$ls,86B_1_3-20,,,,,,"LS 13 320, Aqueous Liquid Module",8276, 8:38  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,6,57,Low,7625,,0.03999,2000,100,3.21,4.1034,4.7177,2.3475,0.869789,16.3982,2.70839,7.33537,0,-0.555855,-0.316702,0.932463,4.7177,15.0208,25559.1,,Size ,43.3302,79.6579,100,100,100,,% <,43.3,79.7,100,100,100
4/16/2017 17:14,86B_1_4-94_8277_01.$ls,86B_1_4-94,,,,,,"LS 13 320, Aqueous Liquid Module",8277, 8:53  13 Apr 2017,91,Fraunhofer.rfd   PIDS included,7,67,Low,7625,,0.03999,2000,100,5.45,3.85474,4.23736,2.04061,0.909704,4.44297,2.86341,8.19911,0,-0.543364,-0.132962,0.88033,4.23736,15.2333,29403,,Size ,47.6767,79.2796,100,100,100,,% <,47.7,79.3,100,100,100
4/16/2017 17:14,86B_2_2-28_8278_01.$ls,86B_2_2-28,,,,,,"LS 13 320, Aqueous Liquid Module",8278, 9:03  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,6,59,Low,7625,,0.03999,2000,100,7.79,3.38328,3.85774,1.90602,0.877011,4.44297,2.65918,7.07121,0,-0.691897,0.0762734,0.843648,3.85774,11.2113,31479.2,,Size ,51.4682,86.1525,100,100,100,,% <,51.5,86.2,100,100,100
4/16/2017 17:14,86B_2_5-73_8279_01.$ls,86B_2_5-73,,,,,,"LS 13 320, Aqueous Liquid Module",8279, 9:15  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,8,63,OK,7625,,0.03999,2000,100,12.74,6.60437,7.1648,3.17422,0.921779,18.0014,3.09735,9.59357,0,-0.557856,-0.179669,1.36063,7.1648,22.7285,18902.3,,Size ,29.8739,59.2467,100,100,100,,% <,29.9,59.2,100,100,100
4/16/2017 17:14,86B_3_2-96_8280_01.$ls,86B_3_2-96,,,,,,"LS 13 320, Aqueous Liquid Module",8280, 9:26  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,5,49,Low,7625,,0.03999,2000,100,17.97,5.49754,6.23437,2.86173,0.881812,18.0014,2.83367,8.02969,0,-0.743987,-0.0475612,1.25071,6.23437,18.3968,20966.3,,Size ,33.8275,65.5661,100,100,100,,% <,33.8,65.6,100,100,100
4/16/2017 17:14,86B_3_5-93_8281_01.$ls,86B_3_5-93,,,,,,"LS 13 320, Aqueous Liquid Module",8281, 9:38  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,8,59,OK,7625,,0.03999,2000,100,22.29,5.05918,5.8933,2.30717,0.858464,18.0014,3.0625,9.37889,0,-0.757426,0.16924,1.06322,5.8933,18.7123,26005.9,,Size ,37.5407,66.8629,100,100,100,,% <,37.5,66.9,100,100,100
4/16/2017 17:14,86B_4_2-60_8282_01.$ls,86B_4_2-60,,,,,,"LS 13 320, Aqueous Liquid Module",8282, 9:50  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,7,45,Low,7625,,0.03999,2000,100,27.11,6.14811,7.27789,3.04474,0.844765,18.0014,2.87516,8.26654,0,-0.878551,0.191599,1.40547,7.27789,19.5168,19706.1,,Size ,29.3583,60.2131,100,100,100,,% <,29.4,60.2,100,100,100
4/16/2017 17:14,86B_4_5-118_8283_01.$ls,86B_4_5-118,,,,,,"LS 13 320, Aqueous Liquid Module",8283, 9:58  13 Apr 2017,90,Fraunhofer.rfd   PIDS included,8,53,OK,7625,,0.03999,2000,100,32.19,6.7782,8.064,2.58009,0.840551,18.0014,3.25673,10.6063,0,-0.902453,0.811712,1.45823,8.064,25.309,23255,,Size ,29.0811,56.3868,100,100,100,,% <,29.1,56.4,100,100,100
4/16/2017 17:14,86B_5_2-106_8284_01.$ls,86B_5_2-106,,,,,,"LS 13 320, Aqueous Liquid Module",8284,4/13/2017 10:06,90,Fraunhofer.rfd   PIDS included,8,49,OK,7625,,0.03999,2000,100,37.07,9.57001,11.8591,3.94208,0.806975,16.3982,3.25884,10.6201,0,-0.801362,0.267968,1.9193,11.8591,38.6297,15220.4,,Size ,20.801,45.5383,100,100,100,,% <,20.8,45.5,100,100,100
4/16/2017 17:14,86B_5_5-96_8286_01.$ls,86B_5_5-96,,,,,,"LS 13 320, Aqueous Liquid Module",8286,4/13/2017 10:29,90,Fraunhofer.rfd   PIDS included,8,54,OK,7625,,0.03999,2000,100,41.47,6.35175,7.69802,2.44319,0.825115,18.0014,3.22629,10.4089,0,-0.945915,0.802834,1.36472,7.69802,22.6152,24558,,Size ,30.9574,57.4967,100,100,100,,% <,31,57.5,100,100,100
